image_contrib,text_contrib
49.187659455848376,50.81234054415107
4.890661045666788,95.10933895433284
43.19427185146442,56.805728148535394
18.7654165957622,81.23458340423679
3.065039475389933,96.93496052460941
0.6882457887743212,99.31175421122528
23.031700963782146,76.96829903621763
3.4490705667425825,96.55092943325714
1.968223382645019,98.03177661735461
5.697360210118123,94.30263978988131
45.85161075650117,54.14838924349844
76.20297708091309,23.79702291908666
7.442164204831219,92.55783579516861
13.800283316261972,86.19971668373726
28.970404774396723,71.02959522560316
7.798998154692501,92.20100184530682
26.31686741078198,73.6831325892167
2.9093819282516344,97.09061807174764
9.4648177069414,90.53518229305814
6.312082718677522,93.68791728132202
0.5467098950700943,99.45329010492948
47.54046858375028,52.45953141624866
8.290508215565568,91.70949178443357
6.753723296212217,93.24627670378732
4.67839835180476,95.32160164819419
21.61323627918138,78.38676372081788
2.8058576569965887,97.19414234300301
56.463936258686196,43.53606374131343
2.9036133461391036,97.09638665386069
11.470769713449041,88.52923028655071
1.350058177842191,98.64994182215709
17.718480023801423,82.2815199761981
4.070744411179559,95.92925558882001
27.72635889521145,72.27364110478831
2.3101169791377614,97.68988302086183
4.544961972418332,95.45503802758103
25.33744452646736,74.66255547353235
23.71544457055863,76.28455542944076
2.493596217725305,97.50640378227442
2.7870327241026702,97.21296727589655
76.45918603592678,23.540813964073088
15.061846652758465,84.93815334724133
25.291291792109817,74.70870820788971
8.907720508321963,91.09227949167776
10.120337355849585,89.87966264414999
13.433178805543388,86.56682119445537
1.3763321007048004,98.62366789929449
95.68671690453759,4.313283095462384
9.345266825962051,90.6547331740373
4.390424746436803,95.60957525356253
6.871884787606112,93.12811521239351
9.7732828460606,90.22671715393827
12.59173241089233,87.408267589106
80.65064909989499,19.349350900104955
13.16530230478504,86.83469769521443
5.534999988585818,94.46500001141342
19.997007638669544,80.00299236132997
6.142119248141423,93.85788075185808
22.428389387490856,77.57161061250874
25.53065355785467,74.4693464421448
27.794052905204513,72.20594709479491
1.8426348559159356,98.15736514408357
5.596892576132067,94.40310742386696
98.90614813329562,1.0938518667043908
3.784971571902059,96.21502842809744
17.203681381384904,82.79631861861463
20.677447007467915,79.32255299253168
25.00811864182897,74.99188135817066
3.4804176260136384,96.5195823739856
57.9158568972297,42.084143102769985
20.655225830835462,79.34477416916354
3.7711085539704667,96.22889144602917
11.07061310491405,88.92938689508507
61.629248349730446,38.37075165026922
8.096588713538196,91.90341128646136
0.8868046066829998,99.11319539331667
3.875684815056135,96.12431518494337
0.6504407654647023,99.34955923453496
24.532118655859215,75.46788134414011
11.722355689924253,88.27764431007537
61.861026526349406,38.1389734736499
7.017432441324551,92.98256755867494
85.49111020542962,14.508889794570312
12.06893012511679,87.93106987488277
20.898131706132915,79.1018682938666
4.703616695065492,95.29638330493418
2.918759078606938,97.0812409213926
1.81857055999649,98.18142944000309
2.7785871063248413,97.22141289367482
6.461129273195067,93.53887072680433
11.817966651326573,88.1820333486727
5.241874951682347,94.75812504831713
9.794314748342432,90.20568525165714
18.171843205232744,81.82815679476707
16.966327365754562,83.03367263424495
22.646535128177216,77.35346487182191
26.329580365424864,73.67041963457449
23.660100193768173,76.33989980623144
7.862959733891668,92.13704026610773
94.86330787666817,5.136692123331807
1.2044946576378464,98.79550534236151
19.663251257732465,80.33674874226725
20.764195026505128,79.23580497349462
3.040851423340179,96.95914857665919
4.335117315335632,95.66488268466375
15.084509435428206,84.91549056457116
21.96753989594697,78.03246010405248
53.97114379116786,46.02885620883184
4.789020816491428,95.21097918350799
3.8628638558880555,96.13713614411132
8.677770502434726,91.322229497565
17.922828246115962,82.07717175388326
16.216823597679035,83.78317640232046
1.7134994142484867,98.28650058575109
13.4335511565901,86.56644884340952
1.3150397064900554,98.68496029350936
8.998349600788577,91.00165039920901
8.903044885759575,91.09695511423982
7.643949575957862,92.35605042404174
1.9817861723327814,98.01821382766698
36.36709579122378,63.63290420877554
15.691150074684213,84.30884992531517
57.31730263366964,42.68269736633024
3.633140405848454,96.3668595941508
44.97515032512882,55.02484967487082
3.9499350810335643,96.0500649189657
